Evaluating	Applying	Compute the monthly cost of both internet plans and recommend the better one.
Evaluating	Analyzing	Compare the two algorithms and decide which is better for sorting 1,000 names.
Evaluating	Understanding	Explain what a firewall does and argue whether every home needs one.
Evaluating	Remembering	List the benefits of each energy source and recommend one for the barangay.
Evaluating	Analyzing	Analyze the data and judge whether the new policy worked.
Analyzing	Applying	Compute each class's average and explain what causes the difference.
Analyzing	Understanding	Describe the two systems of government and contrast how leaders are chosen.
Analyzing	Remembering	Name the parts of the heart and examine how blood flows through them.
Analyzing	Applying	Run the code for x = 2 and identify why it prints the wrong value.
Analyzing	Understanding	Summarize the article and identify the author's hidden assumptions.
Applying	Remembering	State the formula for speed and use it to find the speed of a car that travels 90 km in 2 hours.
Applying	Understanding	Explain what the rule of sum is and apply it to count the ways to choose one fruit from 4 apples and 3 mangoes.
Applying	Remembering	Give the definition of a set and list all the subsets of {1, 2}.
Applying	Understanding	Describe how binary numbers work and convert 11 to binary.
Creating	Evaluating	Design a new canteen menu and justify each item you include.
Creating	Analyzing	Analyze the problems of the current website and create an improved design.
Creating	Applying	Write an original problem about percentages and solve it.
Creating	Understanding	Explain the purpose of a database and design one for a small library.
Creating	Remembering	List the planets in order and create an original mnemonic to remember them.
Creating	Evaluating	Propose three names for the new club and argue which one is best.
Understanding	Remembering	Define osmosis and explain why it is important to plant cells.
Understanding	Remembering	Name the three branches of government and describe what each one does.
Understanding	Applying	Convert 0.25 to a fraction and explain each step.
Evaluating	Understanding	Summarize both sides of the issue and state which side you support and why.
Evaluating	Analyzing	Examine the code for performance problems and rate how serious each one is.
Evaluating	Applying	Calculate the profit of both products and decide which one to sell.
Creating	Applying	Compute the budget for the event and then design a poster to promote it.
Analyzing	Applying	Solve the equation and find the mistake in the given solution.
Applying	Analyzing	Trace the loop and compute the final value of count.
Evaluating	Creating	Create two possible slogans for the campaign and argue which one is better.
