Remembering	What is the SI unit of electric current?
Remembering	Which of the following is the correct HTML tag for inserting an image?
Remembering	The branch of government that interprets laws is the ____.
Remembering	True or false: A tree with n vertices has n edges.
Remembering	Who painted the Spoliarium?
Remembering	What does CSS stand for?
Remembering	Ano ang tawag sa bahagi ng kompyuter na nagsasagawa ng mga kalkulasyon?
Remembering	Sino ang unang pangulo ng Republika ng Pilipinas?
Remembering	Ibigay ang kahulugan ng salitang "demokrasya".
Remembering	Which gas makes up most of the Earth's atmosphere?
Understanding	Explain why the internet is described as a network of networks.
Understanding	What is meant by the term "scalability" in system design?
Understanding	Which of the following best describes the role of a teacher as a facilitator?
Understanding	Why does ice float on water?
Understanding	In your own words, what does the principle of least privilege mean?
Understanding	Ipaliwanag kung bakit mahalaga ang edukasyon sa pag-unlad ng bansa.
Understanding	Bakit kailangan ang firewall sa isang network?
Understanding	Ilarawan ang papel ng ALU sa isang CPU.
Understanding	Which statement best explains why the Earth has day and night?
Understanding	Describe the purpose of the <form> element in HTML.
Applying	If 3 notebooks cost 105 pesos, how much do 7 notebooks cost?
Applying	Evaluate 2^5 - 3 × 4.
Applying	Find the number of ways to choose 2 officers from 9 members if order does not matter.
Applying	A bag contains 3 green, 2 yellow and 5 black balls. Find P(yellow).
Applying	What is the decimal value of the hexadecimal number 1A?
Applying	Write a Python statement that prints the length of the string "Mindoro".
Applying	Lutasin: Kung ang P(A) = 0.25 at P(B) = 0.4 at magkahiwalay ang A at B, ano ang P(A o B)?
Applying	Ilang paraan maaaring maupo ang 5 tao sa isang hanay ng 5 upuan?
Applying	Kalkulahin ang interes ng 5,000 piso sa 4% bawat taon sa loob ng 2 taon.
Applying	Using the rules of Boolean algebra, simplify A·1 + 0.
Analyzing	What is the output of print(len([1, [2, 3], 4])) in Python?
Analyzing	A student's program always prints "Fail" even for high grades. Which part of the condition is most likely wrong?
Analyzing	Which of the following best explains the difference in results between the two groups in the study?
Analyzing	The same query runs fast on one server and slow on another. Which of the following should be compared first?
Analyzing	Which of the following statements is the contrapositive, and which is the converse, of "If it rains, the road is wet"?
Analyzing	Suriin ang ibinigay na datos at tukuyin kung may ugnayan ang oras ng pag-aaral at marka.
Analyzing	Alin sa mga sumusunod na linya ng code ang sanhi ng error?
Analyzing	Ihambing ang dalawang tula batay sa tono at mensahe.
Analyzing	Given the graph of enrollment per year, in which year did the trend change and what might explain it?
Analyzing	Examine the XML document and determine which element is not properly nested.
Evaluating	Is it better to use a mobile app or a website for the school's announcement system? Justify your choice.
Evaluating	A student claims that 0.999... is less than 1. Do you agree? Defend your answer.
Evaluating	Which of the two budget plans is more realistic for the event? Explain your judgment.
Evaluating	Should students be allowed to use calculators in all math exams? Support your stand.
Evaluating	Assess whether the chosen encryption method is strong enough for storing medical records.
Evaluating	Pangatwiranan kung dapat bang gamitin ang biometric na attendance sa paaralan.
Evaluating	Alin ang mas mabuting paraan ng pag-iimbak ng datos: lokal na server o cloud? Ipaliwanag.
Evaluating	Tayahin ang ibinigay na solusyon at sabihin kung ito ay tama at mahusay.
Evaluating	Which sampling method would give the most trustworthy results for a campus-wide survey, and why?
Evaluating	Critique the given flowchart in terms of clarity and correctness.
Creating	Design a simple inventory system for the school supply office.
Creating	Write an original short poem using personification.
Creating	Create a new problem that uses the pigeonhole principle and solve it.
Creating	Propose a system that sends class suspension alerts to students by SMS.
Creating	Develop a program that finds all prime numbers less than 100.
Creating	Bumuo ng orihinal na talata na gumagamit ng mga pang-ugnay.
Creating	Magdisenyo ng poster tungkol sa tamang paggamit ng internet.
Creating	Lumikha ng plano para sa isang maliit na negosyo online.
Creating	Plan an integration that lets the canteen POS share sales data with the accounting system.
Creating	Construct an original truth-functional argument and show that it is valid.
