Remembering	Which planet has the most moons?
Remembering	What does DNS stand for in networking?
Remembering	The process of cell division that produces sex cells is called ____.
Remembering	Who wrote the novel "Dekada '70"?
Remembering	Which HTML tag is used to create a table row?
Remembering	State Newton's third law of motion.
Remembering	True or false: The Philippines has 17 regions.
Remembering	Anong taon itinatag ang Katipunan?
Remembering	Name the smallest unit of life.
Remembering	Which of the following is an example of an output device?
Understanding	Explain why an array index usually starts at zero in many programming languages.
Understanding	Which statement best explains why plants need sunlight?
Understanding	Describe in your own words what inflation means.
Understanding	Why is it important to back up files regularly?
Understanding	What is the difference between a LAN and a WAN?
Understanding	Explain how a vaccine protects the body.
Understanding	Interpret the meaning of the saying "Time is gold."
Understanding	Ipaliwanag ang kahalagahan ng pagboto sa isang demokrasya.
Understanding	Give an example of a renewable energy source and explain why it is renewable.
Understanding	Summarize the main idea of the passage in two sentences.
Applying	How many ways can 5 people be seated in a row?
Applying	Find the value of x if 2x + 5 = 17.
Applying	Write a SQL statement that adds a new student named Ana to the Students table.
Applying	What is 25% of 840?
Applying	Convert 3 kilometers to meters.
Applying	Using the Pythagorean theorem, find the hypotenuse of a right triangle with legs 9 and 12.
Applying	A die is rolled once. What is the probability of rolling a number greater than 2?
Applying	Kalkulahin ang average ng 80, 85, 90 at 95.
Applying	Simplify the Boolean expression A · A + B.
Applying	Write a loop that computes the product of the numbers 1 to 5.
Analyzing	What will be displayed by: let s = "hello"; console.log(s.length)?
Analyzing	Which of the following best explains why the two experiments gave different results?
Analyzing	Identify the logical fallacy in "Everyone uses this app, so it must be safe."
Analyzing	Compare how TCP and UDP handle lost packets.
Analyzing	The printer works for one user but not for others. What is the most likely cause?
Analyzing	Examine the poem and explain how the imagery supports its theme.
Analyzing	Determine whether the argument "If p then q; q; therefore p" is valid, and explain.
Analyzing	Suriin ang ibinigay na datos at tukuyin ang ugnayan ng presyo at demand.
Analyzing	Given the class diagram, which class depends on all the others?
Analyzing	Why does the given program crash when the list is empty?
Evaluating	Is solar power a practical choice for schools in Occidental Mindoro? Justify your answer.
Evaluating	Which of the two proposed websites is easier to use? Defend your answer.
Evaluating	Do you agree that cellphones should be allowed during exams? Support your position.
Evaluating	Assess whether the survey results can be trusted, given how the sample was chosen.
Evaluating	Recommend the most suitable database for a small online shop and justify it.
Evaluating	Judge whether the historical film is accurate based on the readings.
Evaluating	Pangatwiranan kung mas mainam ang online na pag-enroll kaysa sa personal.
Evaluating	Critique the proposed class schedule and decide whether it should be adopted.
Evaluating	Should the school replace printed textbooks with e-books? Justify your answer.
Evaluating	Rank the three proposed solutions from most to least effective and explain your ranking.
Creating	Design a system that reminds parents about school fees through SMS.
Creating	Write an original essay proposing a solution to flooding in your town.
Creating	Create a mobile game that teaches basic arithmetic.
Creating	Propose a new club for the college and describe its activities.
Creating	Develop a program that checks whether a password is strong.
Creating	Compose an original song about friendship.
Creating	Bumuo ng isang maikling dula tungkol sa katapatan.
Creating	Plan an outreach program for a nearby barangay.
Creating	Construct an original counting problem and solve it.
Creating	Invent a tool that helps students organize their notes.
