Applying	Design a truth table for p AND (q OR r).
Applying	Create a frequency distribution table from the given scores.
Applying	Develop the equation of the line passing through (1, 2) and (3, 6).
Applying	Explain how to find the LCM of 12 and 18 and give the answer.
Applying	Describe the steps to compute the variance of 2, 4, 6 and state the result.
Applying	Identify the value of 2^6.
Applying	Define a SQL query that shows all products under 100 pesos.
Applying	Build the adjacency matrix of the given graph.
Applying	Name the result of 17 mod 5.
Applying	Compose the SQL statement that deletes inactive accounts.
Analyzing	Explain what is wrong with the following SQL query.
Analyzing	Describe the relationship between study time and grades shown in the chart.
Analyzing	List the mistakes in the student's solution.
Analyzing	Summarize the flaws in the experimental design.
Analyzing	Identify the cause of the error shown in the log.
Analyzing	Explain why the program prints 5 instead of 6.
Analyzing	Define which part of the network diagram is the single point of failure.
Analyzing	Give the reason why the two algorithms produce different outputs for the same input.
Analyzing	State which premise in the argument is false.
Analyzing	Discuss why the two surveys produced different results.
Evaluating	Explain which of the two plans you would choose and why.
Evaluating	Identify the best programming language for the project and justify your choice.
Evaluating	Describe the most suitable network design for the school and defend it.
Evaluating	Compare the two proposals and recommend one to the principal.
Evaluating	List the advantages and disadvantages of online learning and state your final verdict.
Evaluating	Analyze the policy and decide whether it should continue.
Evaluating	Summarize the two arguments and conclude which one is stronger.
Evaluating	Examine the budget and decide if the project can be funded.
Understanding	What is the best explanation of why ice melts faster on metal than on wood?
Understanding	Identify the main idea of the passage in your own words.
Understanding	Why is encryption used in online banking?
Understanding	Which of the following best summarizes the author's message?
Remembering	Explain what the acronym URL stands for.
Remembering	Describe the definition of a function as given in the lesson.
Remembering	Which one is the correct symbol for "is an element of"?
Creating	Explain how you would design an attendance system that uses QR codes.
Creating	Describe your own plan for reducing waste in the canteen.
Creating	Identify a problem in your barangay and develop an original solution for it.
Creating	Using the rules of Boolean algebra, write an original expression and simplify it.
Creating	Summarize the story and then write a new ending for it.
