Applying	Create the truth table of p OR NOT q.
Applying	Design the SQL statement that updates the price of item 5 to 99.
Applying	Develop the formula for the perimeter of a square with side 7 and compute it.
Applying	Explain how to get the GCD of 24 and 36 and give the GCD.
Applying	Identify the value of 3! + 2!.
Applying	Name the number of edges in a complete graph with 4 vertices.
Applying	Draw the graph of y = 2x − 1.
Applying	Describe the steps to convert 13 to binary, then give the answer.
Analyzing	Describe what is wrong with the student's proof.
Analyzing	Explain why the function returns 0 instead of the sum.
Analyzing	List the errors in the given HTML code.
Analyzing	State which assumption in the study is questionable.
Analyzing	Summarize the pattern in the enrollment data and what drives it.
Analyzing	Define which component in the circuit is the bottleneck.
Analyzing	Identify the relationship between temperature and ice cream sales shown in the table.
Analyzing	Discuss why the two versions of the program give different outputs.
Evaluating	Explain which of the two phones you would buy for school and why.
Evaluating	Identify the most appropriate backup method for the registrar and justify it.
Evaluating	Compare the two candidates' platforms and recommend one.
Evaluating	Summarize both proposals and conclude which one should be funded.
Evaluating	Examine the survey method and decide if the results can be trusted.
Evaluating	Describe the best layout for the computer laboratory and defend your choice.
Understanding	Which statement gives the best explanation of why leaves are green?
Understanding	Identify the main idea of the essay in your own words.
Remembering	Explain what the acronym CPU stands for.
Remembering	Which one is the correct symbol for the empty set?
Creating	Explain how you would design a queueing system for the cashier.
Creating	Describe your own plan to reduce plastic use at home.
Creating	Identify a problem in your school and propose an original solution.
Creating	Using the rules of exponents, write an original expression and simplify it.
