Evaluating	Applying	Compute the total cost of both phone plans for one year and decide which one the family should choose.
Evaluating	Analyzing	Compare the two essays and judge which one is more persuasive.
Evaluating	Understanding	Explain what cloud computing is and argue whether the school should use it.
Evaluating	Remembering	List the features of the two laptops and recommend one for a programming student.
Evaluating	Applying	Solve the problem using both methods and decide which method is more efficient.
Evaluating	Analyzing	Analyze the results of the experiment and assess whether the hypothesis is supported.
Analyzing	Applying	Compute the average of each group and explain what causes the difference between them.
Analyzing	Remembering	Name the parts of the flower and examine how each part contributes to reproduction.
Analyzing	Understanding	Describe the two economic systems and contrast how they distribute resources.
Analyzing	Applying	Trace the recursive function for n = 3 and identify why it returns the wrong value.
Analyzing	Remembering	State the rules of inference and determine which one the argument violates.
Analyzing	Understanding	Explain the given graph and infer what it suggests about population growth.
Applying	Remembering	Give the formula for the area of a circle and use it to find the area when r = 5.
Applying	Understanding	Explain what a truth table is and construct one for p → q.
Applying	Remembering	State Ohm's law and use it to find the current when V = 12 V and R = 3 Ω.
Applying	Understanding	Describe the steps of binary search and use them to find 25 in the list 5, 10, 25, 40.
Applying	Remembering	Define simple interest and compute the interest on 8,000 pesos at 5% for 2 years.
Applying	Understanding	Explain the rule of product and apply it to count the outfits from 3 shirts and 4 pants.
Creating	Evaluating	Design a new school uniform and justify each design choice.
Creating	Analyzing	Examine the weaknesses of the current website and create an improved design.
Creating	Applying	Write an original problem involving percentages and solve it.
Creating	Understanding	Explain the purpose of a flowchart and design one for enrolling in a subject.
Creating	Remembering	List the steps of the water cycle and create an original comic that shows them.
Creating	Evaluating	Propose three solutions to traffic in the town proper and argue which one is best.
Creating	Analyzing	Analyze the causes of low attendance and develop a plan to improve it.
Understanding	Remembering	Name the planets of the solar system and explain why Mercury is the hottest planet only on its day side.
Understanding	Remembering	Define photosynthesis and explain why it is important to animals.
Understanding	Remembering	List the three states of matter and describe how their particles move.
Understanding	Applying	Convert 3/4 to a decimal and explain each step of the conversion.
Evaluating	Creating	Create two possible designs for the class logo and argue which one is better.
Evaluating	Understanding	Summarize both sides of the debate and state which side you support and why.
Analyzing	Evaluating	Examine the code for security flaws and rate how serious each flaw is.
Evaluating	Applying	Calculate the break-even point for both products and recommend which one to sell.
Applying	Analyzing	Trace the loop and compute the final value of sum.
Analyzing	Understanding	Summarize the article and identify the assumptions the author makes.
Creating	Understanding	Describe what an API is and design one for the school canteen.
Evaluating	Analyzing	Differentiate the two data structures and decide which is better for a print queue.
Applying	Remembering	Recall the Pythagorean theorem and apply it to find the hypotenuse of a 6-8 right triangle.
Creating	Applying	Compute the cost of materials and then design a budget-friendly bookshelf.
Analyzing	Applying	Solve the equation and find the error in the given solution.
